	Pyridine	Aldehyde	Isocyanide	Temperature	Solvent_V	Catalyst	Time	Target
3964	0.1	0.2	0.1	80	1.5	0.0	60	1.2
9022	0.2	0.1	0.1	10	0.1	4.0	15	2.9
20175	0.3	0.1	0.3	10	1.5	3.0	5	2.2
21416	0.3	0.2	0.1	40	0.1	3.0	10	7.0
19412	0.3	0.1	0.2	40	0.1	2.0	15	4.2
16335	0.2	0.3	0.2	20	1.0	3.0	5	3.1
1770	0.1	0.1	0.2	60	1.5	2.0	5	1.2
21445	0.3	0.2	0.1	40	0.25	1.0	5	1.9
5700	0.1	0.2	0.3	60	0.5	4.0	5	6.7
15140	0.2	0.3	0.1	10	1.0	4.0	5	4.7
